,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter
0,Manuel Neuer,Manuel Peter Neuer,37,1.93,Germany,Gelsenkirchen,7.0,45.0,Goalkeeper,1,right,Bayern Munich,2024-06-30,2011-07-01,PRO Profil GmbH,adidas
1,Yann Sommer,,34,1.83,Switzerland,Morges,5.0,13.0,Goalkeeper,27,right,Bayern Munich,2025-06-30,2023-01-19,Relatives,Puma
2,Sven Ulreich,,34,1.92,Germany,Schorndorf,0.9,6.0,Goalkeeper,26,right,Bayern Munich,2024-06-30,2021-07-01,BMS Sportconsulting ...,adidas
3,Johannes Schenk,,20,1.91,Germany,Schweinfurt,0.3,0.3,Goalkeeper,35,,Bayern Munich,2024-06-30,2022-07-01,11WINS,
4,Matthijs de Ligt,,23,1.89,Netherlands,Leiderdorp,75.0,75.0,Defender - Centre-Back,4,right,Bayern Munich,2027-06-30,2022-07-19,Rafaela Pimenta,adidas
5,Dayot Upamecano,Dayotchanculle Oswald Upamecano,24,1.86,France  Guinea-Bissau,Évreux,60.0,60.0,Defender - Centre-Back,2,right,Bayern Munich,2026-06-30,2021-07-05,Unique Sports Group,Nike
6,Lucas Hernández,Lucas François Bernard Hernández Pi,27,1.84,France  Spain,Marseille,50.0,70.0,Defender - Centre-Back,21,left,Bayern Munich,2024-06-30,2019-07-01,Manuel García ...,Nike
7,Alphonso Davies,Alphonso Boyle Davies,22,1.85,Canada  Liberia,Buduburam,70.0,80.0,Defender - Left-Back,19,left,Bayern Munich,2025-06-30,2019-01-01,ATG Sports,
8,Daley Blind,,33,1.8,Netherlands,Amsterdam,6.0,25.0,Defender - Left-Back,23,left,Bayern Munich,2023-06-30,2023-01-05,SEG,adidas
9,João Cancelo,João Pedro Cavaco Cancelo,28,1.82,Portugal,Barreiro,60.0,70.0,Defender - Right-Back,22,right,Bayern Munich,2023-06-30,2023-01-31,Gestifute,Nike
10,Benjamin Pavard,,27,1.86,France,Maubeuge,35.0,45.0,Defender - Right-Back,5,right,Bayern Munich,2024-06-30,2019-07-01,Carmenta,adidas
11,Noussair Mazraoui,نصير مزراوي,25,1.83,Morocco  Netherlands,Leiderdorp,28.0,28.0,Defender - Right-Back,40,right,Bayern Munich,2026-06-30,2022-07-01,Rafaela Pimenta,adidas
12,Josip Stanisic,Josip Stanišić,23,1.87,Croatia  Germany,München,12.0,12.0,Defender - Right-Back,44,both,Bayern Munich,2026-06-30,2021-08-01,BALLWERK Sports GmbH,adidas
13,Bouna Sarr,,31,1.77,Senegal  France,Lyon,2.5,9.0,Defender - Right-Back,20,right,Bayern Munich,2024-06-30,2020-10-05,Wasserman,
14,Joshua Kimmich,Joshua Walter Kimmich,28,1.77,Germany,Rottweil,80.0,90.0,midfield - Defensive Midfield,6,right,Bayern Munich,2025-06-30,2015-07-02,,
15,Leon Goretzka,Leon Christoph Goretzka,28,1.89,Germany,Bochum,65.0,70.0,midfield - Central Midfield,8,right,Bayern Munich,2026-06-30,2018-07-01,Neubauer 13 GmbH,
16,Ryan Gravenberch,Ryan Jiro Gravenberch,20,1.9,Netherlands  Suriname,Amsterdam,30.0,35.0,midfield - Central Midfield,38,right,Bayern Munich,2027-06-30,2022-07-01,Team Raiola,adidas
17,Jamal Musiala,,20,1.84,Germany  England,Stuttgart,110.0,110.0,midfield - Attacking Midfield,42,right,Bayern Munich,2026-06-30,2020-07-01,11WINS,
18,Paul Wanner,,17,1.85,Germany  Austria,Dornbirn,3.0,3.0,midfield - Attacking Midfield,14,left,Bayern Munich,2027-06-30,2022-01-31,Agent is known - Player under 18,adidas
19,Arijon Ibrahimovic,Arijon Ibrahimović / Arijon Ibrahimi,17,1.76,Germany  Kosovo,Nürnberg,1.0,1.0,midfield - Attacking Midfield,46,right,Bayern Munich,2025-06-30,2023-01-17,Agent is known - Player under 18,
20,Kingsley Coman,Kingsley Junior Coman,26,1.81,France  Guadeloupe,Paris,65.0,65.0,Attack - Left Winger,11,right,Bayern Munich,2027-06-30,2017-07-01,CAA Base Ltd,Nike
21,Sadio Mané,,31,1.74,Senegal,Bambaly,45.0,150.0,Attack - Left Winger,17,right,Bayern Munich,2025-06-30,2022-07-01,ROOF,New Balance
22,Leroy Sané,Leroy Aziz Sané,27,1.83,Germany  France,Essen,70.0,100.0,Attack - Right Winger,10,left,Bayern Munich,2025-06-30,2020-07-15,LIAN Sports Group,Nike
23,Serge Gnabry,Serge David Gnabry,27,1.76,Germany  Cote d'Ivoire,Stuttgart,55.0,90.0,Attack - Right Winger,7,right,Bayern Munich,2026-06-30,2017-07-01,ROOF,adidas
24,Thomas Müller,,33,1.85,Germany,Weilheim in Oberbayern,18.0,75.0,Attack - Second Striker,25,right,Bayern Munich,2024-06-30,2009-07-01,Kögl & Partner GmbH,adidas
25,Mathys Tel,,18,1.83,France  Guadeloupe,Sarcelles,20.0,20.0,Attack - Centre-Forward,39,right,Bayern Munich,2025-06-30,2022-07-26,,
26,Eric Maxim Choupo-Moting,Eric Maxim Choupo-Moting,34,1.91,Cameroon  Germany,Hamburg,6.0,10.0,Attack - Centre-Forward,13,right,Bayern Munich,2024-06-30,2020-10-05,ROGON,Puma
27,Gregor Kobel,,25,1.94,Switzerland,Zürich,35.0,35.0,Goalkeeper,1,right,Bor. Dortmund,2026-06-30,2021-07-01,SBE Management AG,
28,Marcel Lotka,Marcel Laurenz Lotka,21,1.9,Germany  Poland,Duisburg,1.3,1.3,Goalkeeper,35,right,Bor. Dortmund,2025-06-30,2022-07-01,SEG,
29,Alexander Meyer,Alexander Niklas Meyer-Schade,32,1.95,Germany,Bad Oldesloe,1.0,1.0,Goalkeeper,33,right,Bor. Dortmund,2024-06-30,2022-07-01,AKA Global GmbH,
30,Luca Unbehaun,,22,1.85,Germany,Bochum,1.0,1.5,Goalkeeper,38,right,Bor. Dortmund,2023-06-30,2019-07-01,SWSports,
31,Nico Schlotterbeck,Nico Cedric Schlotterbeck,23,1.91,Germany,Waiblingen,40.0,40.0,Defender - Centre-Back,4,left,Bor. Dortmund,2027-06-30,2022-07-01,Robert Schneider,
32,Niklas Süle,,27,1.95,Germany,Frankfurt am Main,35.0,60.0,Defender - Centre-Back,25,right,Bor. Dortmund,2026-06-30,2022-07-01,Sports360 GmbH,Nike
33,Mats Hummels,Mats Julian Hummels,34,1.91,Germany,Bergisch Gladbach,6.5,60.0,Defender - Centre-Back,15,right,Bor. Dortmund,2023-06-30,2019-07-01,HMH Sportmanagement,adidas
34,Soumaïla Coulibaly,,19,1.9,France  Mali,Montfermeil,1.0,1.0,Defender - Centre-Back,44,left,Bor. Dortmund,2026-06-30,2021-07-01,Epic Sports,Puma
35,Antonios Papadopoulos,Αντώνης Παπαδόπουλος,23,1.86,Germany  Greece,Stuttgart,0.6,0.6,Defender - Centre-Back,18,right,B. Dortmund II,2024-06-30,2021-07-01,CAA Stellar,
36,Raphaël Guerreiro,Raphaël Adelino José Guerreiro,29,1.7,Portugal  France,Le Blanc-Mesnil,20.0,40.0,Defender - Left-Back,13,left,Bor. Dortmund,2023-06-30,2016-07-01,Wasserman,adidas
37,Tom Rothe,Tom Alexander Rothe,18,1.93,Germany,Rendsburg,3.5,3.5,Defender - Left-Back,36,left,Bor. Dortmund,2024-06-30,2022-07-01,Wasserman,
38,Nico Schulz,,30,1.8,Germany,Berlin,2.0,25.0,Defender - Left-Back,14,left,Bor. Dortmund,2024-06-30,2019-07-01,ROGON,
39,Julian Ryerson,,25,1.83,Norway,Lyngdal,10.0,10.0,Defender - Right-Back,26,right,Bor. Dortmund,2026-06-30,2023-01-17,CAA Base Ltd,
40,Marius Wolf,,27,1.87,Germany,Coburg,9.0,10.0,Defender - Right-Back,17,right,Bor. Dortmund,2024-06-30,2018-07-02,ROGON,
41,Thomas Meunier,,31,1.91,Belgium,Sainte-Ode,6.5,35.0,Defender - Right-Back,24,right,Bor. Dortmund,2024-06-30,2020-07-01,Thomas Meunier,adidas
42,Mateu Morey Bauzà,Mateu Jaume Morey Bauzà,23,1.73,Spain,Palma de Mallorca,1.5,7.0,Defender - Right-Back,2,right,Bor. Dortmund,2024-06-30,2019-07-01,,
43,Felix Passlack,,24,1.7,Germany,Bottrop,1.5,3.0,Defender - Right-Back,30,right,Bor. Dortmund,2023-06-30,2016-01-04,Teamgeist ...,Nike
44,Salih Özcan,,25,1.83,Turkey  Germany,Köln,17.0,17.0,midfield - Defensive Midfield,6,right,Bor. Dortmund,2026-06-30,2022-07-01,Dirk Hebel,
45,Emre Can,,29,1.86,Germany  Turkey,Frankfurt am Main,14.0,40.0,midfield - Defensive Midfield,23,right,Bor. Dortmund,2024-06-30,2020-07-01,ISM Int. Soccer ...,
46,Abdoulaye Kamara,,18,1.83,France  Guinea,Conakry,1.0,1.0,midfield - Defensive Midfield,32,right,B. Dortmund II,2024-06-30,2021-07-20,,
47,Jude Bellingham,Jude Victor William Bellingham,19,1.86,England,Stourbridge,120.0,120.0,midfield - Central Midfield,22,right,Bor. Dortmund,2025-06-30,2020-07-23,,adidas
48,Mahmoud Dahoud,,27,1.78,Germany  Syria,Amûdê‎,12.0,18.0,midfield - Central Midfield,8,right,Bor. Dortmund,2023-06-30,2017-07-01,Lorimanagement,Puma
49,Julian Brandt,,27,1.85,Germany,Bremen,40.0,50.0,midfield - Attacking Midfield,19,right,Bor. Dortmund,2026-06-30,2019-07-01,Relatives,Nike
50,Giovanni Reyna,Giovanni Alejandro Reyna,20,1.85,United States  Portugal,Durham,28.0,42.0,midfield - Attacking Midfield,7,right,Bor. Dortmund,2025-06-30,2020-01-12,Wasserman,adidas
51,Marco Reus,,33,1.8,Germany,Dortmund,9.0,50.0,midfield - Attacking Midfield,11,right,Bor. Dortmund,2024-06-30,2012-07-01,Dirk Hebel,Puma
52,Göktan Gürpüz,,20,1.76,Turkey  Germany,Duisburg,0.3,0.3,midfield - Attacking Midfield,42,right,B. Dortmund II,2025-06-30,2022-07-01,SBE Management AG,
53,Karim Adeyemi,Karim-David Adeyemi,21,1.8,Germany  Nigeria,München,35.0,35.0,Attack - Left Winger,27,left,Bor. Dortmund,2027-06-30,2022-07-01,Kick&Run,Nike
54,Jamie Bynoe-Gittens,Jamie Jermaine Bynoe-Gittens,18,1.77,England  Barbados,London,14.0,14.0,Attack - Left Winger,43,right,Bor. Dortmund,2025-06-30,2022-07-01,Elite Project Group ...,
55,Donyell Malen,,24,1.78,Netherlands  Suriname,Wieringen,16.0,30.0,Attack - Right Winger,21,right,Bor. Dortmund,2026-06-30,2021-07-27,Rafaela Pimenta,Nike
56,Julien Duranville,,17,1.7,Belgium,Uccle,5.0,5.0,Attack - Right Winger,16,right,Bor. Dortmund,,2023-01-27,Agent is known - Player under 18,
57,Sébastien Haller,Sébastien Romain Teddy Haller,28,1.91,Cote d'Ivoire  France,Ris-Orangis,30.0,45.0,Attack - Centre-Forward,9,right,Bor. Dortmund,2026-06-30,2022-07-06,management 360,Puma
58,Youssoufa Moukoko,,18,1.79,Germany  Cameroon,Yaoundé,30.0,30.0,Attack - Centre-Forward,18,left,Bor. Dortmund,2026-06-30,2020-07-29,Wasserman,Nike
59,Anthony Modeste,Anthony Mbu Agogo Modeste,35,1.88,France  Martinique,Cannes,1.0,20.0,Attack - Centre-Forward,20,right,Bor. Dortmund,2023-06-30,2022-08-08,Wasserman,
60,Péter Gulácsi,,33,1.9,Hungary,Budapest,6.0,13.0,Goalkeeper,1,right,RB Leipzig,2025-06-30,2015-07-01,HCM Sports ...,
61,Janis Blaswich,Janis Jonathan Blaswich,32,1.93,Germany,Willich,2.0,2.0,Goalkeeper,21,right,RB Leipzig,2025-06-30,2022-07-01,PRO Profil GmbH,adidas
62,Örjan Nyland,Ørjan Håskjold Nyland,32,1.92,Norway,Volda,0.6,3.0,Goalkeeper,13,right,RB Leipzig,2023-06-30,2022-10-09,Solbakken / Player ...,
63,Jonas Nickisch,,18,1.9,Germany,Dresden,0.2,0.2,Goalkeeper,1,both,RB Leipzig U19,2023-06-30,2021-07-01,neblung ...,
64,Timo Schlieck,,17,1.95,Germany,Oelde,0.2,0.2,Goalkeeper,1,right,RB Leipzig U17,2025-06-30,2021-07-01,,
65,Oskar Preil,,19,1.87,Germany,,,,Goalkeeper,29,right,RB Leipzig,2023-06-30,2022-07-01,SOCCERNATION GROUP,
66,Josko Gvardiol,Joško Gvardiol,21,1.85,Croatia,Zagreb,75.0,75.0,Defender - Centre-Back,32,left,RB Leipzig,2027-06-30,2021-07-01,Marjan Sisic,
67,Mohamed Simakan,,23,1.87,France  Guinea,Marseille,28.0,28.0,Defender - Centre-Back,2,right,RB Leipzig,2027-06-30,2021-07-01,BS Group - BS Law,Puma
68,Abdou Diallo,Abdou-Lakhad Diallo,27,1.87,Senegal  France,Tours,15.0,35.0,Defender - Centre-Back,37,left,RB Leipzig,2023-06-30,2022-09-01,Classico,Puma
69,Willi Orbán,Vilmos Tamás Orbán,30,1.86,Hungary  Germany,Kaiserslautern,10.0,20.0,Defender - Centre-Back,4,right,RB Leipzig,2025-06-30,2015-07-01,ROGON,Nike
70,David Raum,,25,1.8,Germany,Nürnberg,20.0,26.0,Defender - Left-Back,22,left,RB Leipzig,2027-06-30,2022-07-31,ROOF,
71,Marcel Halstenberg,,31,1.88,Germany,Laatzen,4.0,22.0,Defender - Left-Back,23,left,RB Leipzig,2024-06-30,2015-08-31,TrueSports GmbH,
72,Sanoussy Ba,,19,1.84,Germany  Senegal,Hof,0.5,0.5,Defender - Left-Back,25,both,RB Leipzig,2025-06-30,2022-07-01,Sports360 GmbH,
73,Benjamin Henrichs,,26,1.85,Germany  Ghana,Bocholt,15.0,20.0,Defender - Right-Back,39,right,RB Leipzig,2025-06-30,2021-07-01,CN Sports,
74,Lukas Klostermann,Lukas Manuel Klostermann,26,1.89,Germany,Gevelsberg,12.0,38.0,Defender - Right-Back,16,right,RB Leipzig,2024-06-30,2014-08-22,EMG Mundial,
75,Konrad Laimer,,25,1.8,Austria,Salzburg,28.0,30.0,midfield - Central Midfield,27,right,RB Leipzig,2023-06-30,2017-07-01,ROOF,
76,Xaver Schlager,,25,1.74,Austria,Linz,22.0,27.0,midfield - Central Midfield,24,left,RB Leipzig,2026-06-30,2022-07-01,ROOF,Puma
77,Amadou Haidara,,25,1.75,Mali,Bamako,17.0,24.0,midfield - Central Midfield,8,right,RB Leipzig,2025-06-30,2019-01-01,ROOF,
78,Kevin Kampl,,32,1.78,Slovenia,Solingen,5.0,22.0,midfield - Central Midfield,44,right,RB Leipzig,2024-06-30,2017-08-31,MR Sport Management ...,adidas
79,Dani Olmo,Daniel Olmo Carvajal,25,1.79,Spain,Terrassa,40.0,50.0,midfield - Attacking Midfield,7,right,RB Leipzig,2024-06-30,2020-01-25,Niagara Sports ...,
80,Dominik Szoboszlai,,22,1.87,Hungary,Székesfehérvár,40.0,40.0,midfield - Attacking Midfield,17,right,RB Leipzig,2026-06-30,2021-01-01,EM Sports Consulting,
81,Emil Forsberg,Emil Peter Forsberg,31,1.77,Sweden,Sundsvall,9.0,28.0,midfield - Attacking Midfield,10,right,RB Leipzig,2025-06-30,2015-01-07,HCM Sports ...,
82,Caden Clark,Caden Christopher Clark,19,1.8,United States,"Medina, Minnesota",2.8,3.5,midfield - Attacking Midfield,28,right,RB Leipzig,2025-06-30,2021-07-01,YMU Group,
83,Christopher Nkunku,Christopher Alan Nkunku,25,1.78,France  DR Congo,Lagny-sur-Marne,80.0,80.0,Attack - Second Striker,18,right,RB Leipzig,2026-06-30,2019-07-18,Gol International,adidas
84,Timo Werner,,27,1.8,Germany,Stuttgart,25.0,80.0,Attack - Centre-Forward,11,right,RB Leipzig,2026-06-30,2022-08-09,Sports360 GmbH,adidas
85,André Silva,André Miguel Valente Silva,27,1.85,Portugal,Baguim do Monte,20.0,45.0,Attack - Centre-Forward,19,right,RB Leipzig,2026-06-30,2021-07-02,Gestifute,Nike
86,Yussuf Poulsen,Yussuf Yurary Poulsen,28,1.92,Denmark  Tanzania,Kopenhagen,10.0,35.0,Attack - Centre-Forward,9,right,RB Leipzig,2024-06-30,2013-07-04,PEP Consulting,
87,Lukas Hradecky,Lukáš Hrádecký,33,1.92,Finland  Slovakia,Bratislava,2.5,12.0,Goalkeeper,1,right,B. Leverkusen,2026-06-30,2018-07-01,,Uhlsport
88,Patrick Pentz,,26,1.82,Austria,Salzburg,1.5,2.5,Goalkeeper,28,left,B. Leverkusen,2025-06-30,2023-01-27,World in Motion,Uhlsport
89,Andrey Lunev,Лунёв Андрей Евгеньевич,31,1.9,Russia,Moskau,1.5,10.5,Goalkeeper,40,right,B. Leverkusen,2023-06-30,2021-07-10,,Nike
90,Niklas Lomb,,29,1.86,Germany,Köln,0.25,0.4,Goalkeeper,36,right,B. Leverkusen,2024-06-30,2012-07-01,Dirk Hebel,
91,Edmond Tapsoba,Edmond Fayçal Tapsoba,24,1.94,Burkina Faso,Ouagadougou,30.0,40.0,Defender - Centre-Back,12,right,B. Leverkusen,2026-06-30,2020-01-31,D20 Sports,
92,Piero Hincapié,Piero Martín Hincapié Reyna,21,1.83,Ecuador,Esmeraldas,25.0,25.0,Defender - Centre-Back,3,left,B. Leverkusen,2027-06-30,2021-08-16,Fútbol División,adidas
93,Jonathan Tah,Jonathan Glao Tah,27,1.95,Germany,Hamburg,20.0,40.0,Defender - Centre-Back,4,right,B. Leverkusen,2025-06-30,2015-07-16,Gol International,adidas
94,Odilon Kossounou,Odilon Kossounou Kouakou,22,1.91,Cote d'Ivoire,Abidjan,20.0,23.0,Defender - Centre-Back,6,right,B. Leverkusen,2026-06-30,2021-07-22,Global Soccer ...,
95,Mitchel Bakker,,22,1.85,Netherlands,Purmerend,9.0,14.0,Defender - Left-Back,5,left,B. Leverkusen,2025-06-30,2021-07-12,Team Raiola,
96,Daley Sinkgraven,,27,1.79,Netherlands,Assen,3.0,9.0,Defender - Left-Back,22,left,B. Leverkusen,2023-06-30,2019-07-01,V4S,Nike
97,Jeremie Frimpong,Jeremie Agyekum Frimpong,22,1.71,Netherlands  Ghana,Amsterdam,35.0,35.0,Defender - Right-Back,30,right,B. Leverkusen,2025-06-30,2021-01-27,Prolific Sports ...,Puma
98,Timothy Fosu-Mensah,Timothy Evans Fosu-Mensah,25,1.85,Netherlands  Ghana,Amsterdam,3.0,7.0,Defender - Right-Back,24,right,B. Leverkusen,2024-06-30,2021-01-13,CAA Base Ltd,
99,Robert Andrich,,28,1.87,Germany,Potsdam,11.0,13.0,midfield - Defensive Midfield,8,right,B. Leverkusen,2026-06-30,2021-08-16,teamplayer ...,
100,Noah Mbamba,Noah Mbamba-Muanda,18,1.87,Belgium,Elsene,3.0,5.0,midfield - Defensive Midfield,18,right,B. Leverkusen,2028-06-30,2023-01-14,,
101,Ayman Azhil,,22,1.75,Morocco  Germany,Düsseldorf,0.4,0.4,midfield - Defensive Midfield,32,,B. Leverkusen,2023-06-30,2020-07-01,KL Sportsbase,
102,Joshua Eze,Joshua Chima Eze,20,1.83,Germany  Nigeria,Leverkusen,0.2,0.2,midfield - Defensive Midfield,35,right,B. Leverkusen,2024-06-30,2022-07-01,Kick&Run,
103,Exequiel Palacios,Exequiel Alejandro Palacios,24,1.77,Argentina,Famaillá,15.0,25.0,midfield - Central Midfield,25,right,B. Leverkusen,2025-06-30,2020-01-01,Eleven Talent Group,
104,Kerem Demirbay,,29,1.83,Germany  Turkey,Herten,9.0,32.0,midfield - Central Midfield,10,left,B. Leverkusen,2024-06-30,2019-07-01,EMG Mundial,adidas
105,Nadiem Amiri,,26,1.8,Germany  Afghanistan,Ludwigshafen am Rhein,6.0,22.0,midfield - Central Midfield,11,right,B. Leverkusen,2024-06-30,2019-07-30,,
106,Florian Wirtz,Florian Richard Wirtz,20,1.76,Germany,Pulheim,85.0,85.0,midfield - Attacking Midfield,27,right,B. Leverkusen,2027-06-30,2020-07-01,Relatives,adidas
107,Callum Hudson-Odoi,Callum James Hudson-Odoi,22,1.77,England  Ghana,London,17.0,35.0,Attack - Left Winger,17,right,B. Leverkusen,2023-06-30,2022-08-30,Relatives,adidas
108,Amine Adli,,23,1.74,France  Morocco,Béziers,15.0,15.0,Attack - Left Winger,21,left,B. Leverkusen,2026-06-30,2021-08-26,Concept Sport Agency,adidas
109,Moussa Diaby,,23,1.7,France  Mali,Paris,50.0,60.0,Attack - Right Winger,19,left,B. Leverkusen,2025-06-30,2019-07-01,AIS SPORT SERVICE,
110,Karim Bellarabi,كريم بلعربي,33,1.84,Germany  Morocco,Berlin,2.5,22.0,Attack - Right Winger,38,right,B. Leverkusen,2023-06-30,2011-07-01,KL Sportsbase,
111,Patrik Schick,,27,1.91,Czech Republic,Praha,30.0,50.0,Attack - Centre-Forward,14,left,B. Leverkusen,2027-06-30,2020-09-08,Int. Sport ...,
112,Adam Hlozek,Adam Hložek,20,1.88,Czech Republic,Ivančice,15.0,20.0,Attack - Centre-Forward,23,right,B. Leverkusen,2027-06-30,2022-07-01,Int. Sport ...,Nike
113,Sardar Azmoun,سردار آزمون,28,1.86,Iran,"Gonbad-e Kavus, Golestan",12.0,25.0,Attack - Centre-Forward,9,both,B. Leverkusen,2027-06-30,2022-01-30,Epic Sports,Nike
114,Kevin Trapp,Kevin Christian Trapp,32,1.89,Germany,Merzig,8.5,12.0,Goalkeeper,1,right,E. Frankfurt,2026-06-30,2019-08-07,Sports360 GmbH,adidas
115,Diant Ramaj,,21,1.89,Germany  Kosovo,Stuttgart,0.75,0.75,Goalkeeper,40,both,E. Frankfurt,2027-06-30,2021-07-01,BMS Sportconsulting ...,
116,Jens Grahl,,34,1.92,Germany,Stuttgart,0.2,0.75,Goalkeeper,31,right,E. Frankfurt,2026-06-30,2021-07-19,PESM,
117,Simon Simoni,,18,1.94,Albania,Lezhë,0.2,0.25,Goalkeeper,41,right,E. Frankfurt,2027-06-30,2023-01-01,Creatio Management,
118,Evan Ndicka,Obite Evan Ndicka,23,1.92,France  Cameroon,Paris,32.0,32.0,Defender - Centre-Back,2,left,E. Frankfurt,2023-06-30,2018-07-05,AMS CONSULTING,
119,Tuta,,23,1.85,Brazil,São Paulo,15.0,15.0,Defender - Centre-Back,35,right,E. Frankfurt,2026-06-30,2019-01-31,Wolfs,
120,Hrvoje Smolcic,Hrvoje Smolčić,22,1.85,Croatia,Gospić,5.0,5.0,Defender - Centre-Back,5,left,E. Frankfurt,2027-06-30,2022-07-01,Niagara Sports ...,
121,Almamy Touré,,27,1.83,Mali  France,Bamako,2.5,8.0,Defender - Centre-Back,18,right,E. Frankfurt,2023-06-30,2019-01-31,,
122,Makoto Hasebe,長谷部 誠,39,1.8,Japan,"Fujieda, Shizuoka",0.8,5.0,Defender - Centre-Back,20,right,E. Frankfurt,2024-06-30,2014-07-01,PRO Profil GmbH,Puma
123,Philipp Max,,29,1.77,Germany,Viersen,6.0,20.0,Defender - Left-Back,32,left,E. Frankfurt,2023-06-30,2023-01-31,Sports360 GmbH,Nike
124,Christopher Lenz,,28,1.8,Germany,Berlin,5.0,5.0,Defender - Left-Back,25,left,E. Frankfurt,2024-06-30,2021-07-01,ROOF,
125,Jan Schröder,Jan Alex Wilson Schröder,20,1.82,Germany  Spain,Herrenberg,0.2,0.2,Defender - Left-Back,49,left,E. Frankfurt,2023-06-30,2021-08-20,,
